video_id,gloss,split,processed_path,gloss_id
personal_1755283277,sit,train,processed_sequences\train\personal_1755283277.npy,0
personal_1755283277_aug0,sit,train,processed_sequences\train\personal_1755283277_aug0.npy,0
personal_1755283277_aug1,sit,train,processed_sequences\train\personal_1755283277_aug1.npy,0
personal_1755283277_aug2,sit,train,processed_sequences\train\personal_1755283277_aug2.npy,0
personal_1755283277_aug3,sit,train,processed_sequences\train\personal_1755283277_aug3.npy,0
personal_1755283277_aug4,sit,train,processed_sequences\train\personal_1755283277_aug4.npy,0
personal_1755282656,sit,train,processed_sequences\train\personal_1755282656.npy,0
personal_1755282656_aug0,sit,train,processed_sequences\train\personal_1755282656_aug0.npy,0
personal_1755282656_aug1,sit,train,processed_sequences\train\personal_1755282656_aug1.npy,0
personal_1755282656_aug2,sit,train,processed_sequences\train\personal_1755282656_aug2.npy,0
personal_1755282656_aug3,sit,train,processed_sequences\train\personal_1755282656_aug3.npy,0
personal_1755282656_aug4,sit,train,processed_sequences\train\personal_1755282656_aug4.npy,0
personal_1755283207,sit,train,processed_sequences\train\personal_1755283207.npy,0
personal_1755283207_aug0,sit,train,processed_sequences\train\personal_1755283207_aug0.npy,0
personal_1755283207_aug1,sit,train,processed_sequences\train\personal_1755283207_aug1.npy,0
personal_1755283207_aug2,sit,train,processed_sequences\train\personal_1755283207_aug2.npy,0
personal_1755283207_aug3,sit,train,processed_sequences\train\personal_1755283207_aug3.npy,0
personal_1755283207_aug4,sit,train,processed_sequences\train\personal_1755283207_aug4.npy,0
personal_1755282720,sit,train,processed_sequences\train\personal_1755282720.npy,0
personal_1755282720_aug0,sit,train,processed_sequences\train\personal_1755282720_aug0.npy,0
personal_1755282720_aug1,sit,train,processed_sequences\train\personal_1755282720_aug1.npy,0
personal_1755282720_aug2,sit,train,processed_sequences\train\personal_1755282720_aug2.npy,0
personal_1755282720_aug3,sit,train,processed_sequences\train\personal_1755282720_aug3.npy,0
personal_1755282720_aug4,sit,train,processed_sequences\train\personal_1755282720_aug4.npy,0
personal_1755283285,sit,train,processed_sequences\train\personal_1755283285.npy,0
personal_1755283285_aug0,sit,train,processed_sequences\train\personal_1755283285_aug0.npy,0
personal_1755283285_aug1,sit,train,processed_sequences\train\personal_1755283285_aug1.npy,0
personal_1755283285_aug2,sit,train,processed_sequences\train\personal_1755283285_aug2.npy,0
personal_1755283285_aug3,sit,train,processed_sequences\train\personal_1755283285_aug3.npy,0
personal_1755283285_aug4,sit,train,processed_sequences\train\personal_1755283285_aug4.npy,0
personal_1755283180,sit,train,processed_sequences\train\personal_1755283180.npy,0
personal_1755283180_aug0,sit,train,processed_sequences\train\personal_1755283180_aug0.npy,0
personal_1755283180_aug1,sit,train,processed_sequences\train\personal_1755283180_aug1.npy,0
personal_1755283180_aug2,sit,train,processed_sequences\train\personal_1755283180_aug2.npy,0
personal_1755283180_aug3,sit,train,processed_sequences\train\personal_1755283180_aug3.npy,0
personal_1755283180_aug4,sit,train,processed_sequences\train\personal_1755283180_aug4.npy,0
personal_1755282664,sit,train,processed_sequences\train\personal_1755282664.npy,0
personal_1755282664_aug0,sit,train,processed_sequences\train\personal_1755282664_aug0.npy,0
personal_1755282664_aug1,sit,train,processed_sequences\train\personal_1755282664_aug1.npy,0
personal_1755282664_aug2,sit,train,processed_sequences\train\personal_1755282664_aug2.npy,0
personal_1755282664_aug3,sit,train,processed_sequences\train\personal_1755282664_aug3.npy,0
personal_1755282664_aug4,sit,train,processed_sequences\train\personal_1755282664_aug4.npy,0
personal_1755283215,sit,train,processed_sequences\train\personal_1755283215.npy,0
personal_1755283215_aug0,sit,train,processed_sequences\train\personal_1755283215_aug0.npy,0
personal_1755283215_aug1,sit,train,processed_sequences\train\personal_1755283215_aug1.npy,0
personal_1755283215_aug2,sit,train,processed_sequences\train\personal_1755283215_aug2.npy,0
personal_1755283215_aug3,sit,train,processed_sequences\train\personal_1755283215_aug3.npy,0
personal_1755283215_aug4,sit,train,processed_sequences\train\personal_1755283215_aug4.npy,0
personal_1755282729,sit,train,processed_sequences\train\personal_1755282729.npy,0
personal_1755282729_aug0,sit,train,processed_sequences\train\personal_1755282729_aug0.npy,0
personal_1755282729_aug1,sit,train,processed_sequences\train\personal_1755282729_aug1.npy,0
personal_1755282729_aug2,sit,train,processed_sequences\train\personal_1755282729_aug2.npy,0
personal_1755282729_aug3,sit,train,processed_sequences\train\personal_1755282729_aug3.npy,0
personal_1755282729_aug4,sit,train,processed_sequences\train\personal_1755282729_aug4.npy,0
personal_1755283253,sit,train,processed_sequences\train\personal_1755283253.npy,0
personal_1755283253_aug0,sit,train,processed_sequences\train\personal_1755283253_aug0.npy,0
personal_1755283253_aug1,sit,train,processed_sequences\train\personal_1755283253_aug1.npy,0
personal_1755283253_aug2,sit,train,processed_sequences\train\personal_1755283253_aug2.npy,0
personal_1755283253_aug3,sit,train,processed_sequences\train\personal_1755283253_aug3.npy,0
personal_1755283253_aug4,sit,train,processed_sequences\train\personal_1755283253_aug4.npy,0
personal_1755283172,sit,train,processed_sequences\train\personal_1755283172.npy,0
personal_1755283172_aug0,sit,train,processed_sequences\train\personal_1755283172_aug0.npy,0
personal_1755283172_aug1,sit,train,processed_sequences\train\personal_1755283172_aug1.npy,0
personal_1755283172_aug2,sit,train,processed_sequences\train\personal_1755283172_aug2.npy,0
personal_1755283172_aug3,sit,train,processed_sequences\train\personal_1755283172_aug3.npy,0
personal_1755283172_aug4,sit,train,processed_sequences\train\personal_1755283172_aug4.npy,0
personal_1755283198,sit,train,processed_sequences\train\personal_1755283198.npy,0
personal_1755283198_aug0,sit,train,processed_sequences\train\personal_1755283198_aug0.npy,0
personal_1755283198_aug1,sit,train,processed_sequences\train\personal_1755283198_aug1.npy,0
personal_1755283198_aug2,sit,train,processed_sequences\train\personal_1755283198_aug2.npy,0
personal_1755283198_aug3,sit,train,processed_sequences\train\personal_1755283198_aug3.npy,0
personal_1755283198_aug4,sit,train,processed_sequences\train\personal_1755283198_aug4.npy,0
personal_1755283301,sit,train,processed_sequences\train\personal_1755283301.npy,0
personal_1755283301_aug0,sit,train,processed_sequences\train\personal_1755283301_aug0.npy,0
personal_1755283301_aug1,sit,train,processed_sequences\train\personal_1755283301_aug1.npy,0
personal_1755283301_aug2,sit,train,processed_sequences\train\personal_1755283301_aug2.npy,0
personal_1755283301_aug3,sit,train,processed_sequences\train\personal_1755283301_aug3.npy,0
personal_1755283301_aug4,sit,train,processed_sequences\train\personal_1755283301_aug4.npy,0
personal_1755282712,sit,train,processed_sequences\train\personal_1755282712.npy,0
personal_1755282712_aug0,sit,train,processed_sequences\train\personal_1755282712_aug0.npy,0
personal_1755282712_aug1,sit,train,processed_sequences\train\personal_1755282712_aug1.npy,0
personal_1755282712_aug2,sit,train,processed_sequences\train\personal_1755282712_aug2.npy,0
personal_1755282712_aug3,sit,train,processed_sequences\train\personal_1755282712_aug3.npy,0
personal_1755282712_aug4,sit,train,processed_sequences\train\personal_1755282712_aug4.npy,0
personal_1755282704,sit,train,processed_sequences\train\personal_1755282704.npy,0
personal_1755282704_aug0,sit,train,processed_sequences\train\personal_1755282704_aug0.npy,0
personal_1755282704_aug1,sit,train,processed_sequences\train\personal_1755282704_aug1.npy,0
personal_1755282704_aug2,sit,train,processed_sequences\train\personal_1755282704_aug2.npy,0
personal_1755282704_aug3,sit,train,processed_sequences\train\personal_1755282704_aug3.npy,0
personal_1755282704_aug4,sit,train,processed_sequences\train\personal_1755282704_aug4.npy,0
personal_1755283136,sit,train,processed_sequences\train\personal_1755283136.npy,0
personal_1755283136_aug0,sit,train,processed_sequences\train\personal_1755283136_aug0.npy,0
personal_1755283136_aug1,sit,train,processed_sequences\train\personal_1755283136_aug1.npy,0
personal_1755283136_aug2,sit,train,processed_sequences\train\personal_1755283136_aug2.npy,0
personal_1755283136_aug3,sit,train,processed_sequences\train\personal_1755283136_aug3.npy,0
personal_1755283136_aug4,sit,train,processed_sequences\train\personal_1755283136_aug4.npy,0
personal_1755283268,sit,train,processed_sequences\train\personal_1755283268.npy,0
personal_1755283268_aug0,sit,train,processed_sequences\train\personal_1755283268_aug0.npy,0
personal_1755283268_aug1,sit,train,processed_sequences\train\personal_1755283268_aug1.npy,0
personal_1755283268_aug2,sit,train,processed_sequences\train\personal_1755283268_aug2.npy,0
personal_1755283268_aug3,sit,train,processed_sequences\train\personal_1755283268_aug3.npy,0
personal_1755283268_aug4,sit,train,processed_sequences\train\personal_1755283268_aug4.npy,0
personal_1755282794,sit,train,processed_sequences\train\personal_1755282794.npy,0
personal_1755282794_aug0,sit,train,processed_sequences\train\personal_1755282794_aug0.npy,0
personal_1755282794_aug1,sit,train,processed_sequences\train\personal_1755282794_aug1.npy,0
personal_1755282794_aug2,sit,train,processed_sequences\train\personal_1755282794_aug2.npy,0
personal_1755282794_aug3,sit,train,processed_sequences\train\personal_1755282794_aug3.npy,0
personal_1755282794_aug4,sit,train,processed_sequences\train\personal_1755282794_aug4.npy,0
personal_1755282680,sit,train,processed_sequences\train\personal_1755282680.npy,0
personal_1755282680_aug0,sit,train,processed_sequences\train\personal_1755282680_aug0.npy,0
personal_1755282680_aug1,sit,train,processed_sequences\train\personal_1755282680_aug1.npy,0
personal_1755282680_aug2,sit,train,processed_sequences\train\personal_1755282680_aug2.npy,0
personal_1755282680_aug3,sit,train,processed_sequences\train\personal_1755282680_aug3.npy,0
personal_1755282680_aug4,sit,train,processed_sequences\train\personal_1755282680_aug4.npy,0
personal_1755283146,sit,train,processed_sequences\train\personal_1755283146.npy,0
personal_1755283146_aug0,sit,train,processed_sequences\train\personal_1755283146_aug0.npy,0
personal_1755283146_aug1,sit,train,processed_sequences\train\personal_1755283146_aug1.npy,0
personal_1755283146_aug2,sit,train,processed_sequences\train\personal_1755283146_aug2.npy,0
personal_1755283146_aug3,sit,train,processed_sequences\train\personal_1755283146_aug3.npy,0
personal_1755283146_aug4,sit,train,processed_sequences\train\personal_1755283146_aug4.npy,0
personal_1755283245,sit,train,processed_sequences\train\personal_1755283245.npy,0
personal_1755283245_aug0,sit,train,processed_sequences\train\personal_1755283245_aug0.npy,0
personal_1755283245_aug1,sit,train,processed_sequences\train\personal_1755283245_aug1.npy,0
personal_1755283245_aug2,sit,train,processed_sequences\train\personal_1755283245_aug2.npy,0
personal_1755283245_aug3,sit,train,processed_sequences\train\personal_1755283245_aug3.npy,0
personal_1755283245_aug4,sit,train,processed_sequences\train\personal_1755283245_aug4.npy,0
personal_1755282763,sit,train,processed_sequences\train\personal_1755282763.npy,0
personal_1755282763_aug0,sit,train,processed_sequences\train\personal_1755282763_aug0.npy,0
personal_1755282763_aug1,sit,train,processed_sequences\train\personal_1755282763_aug1.npy,0
personal_1755282763_aug2,sit,train,processed_sequences\train\personal_1755282763_aug2.npy,0
personal_1755282763_aug3,sit,train,processed_sequences\train\personal_1755282763_aug3.npy,0
personal_1755282763_aug4,sit,train,processed_sequences\train\personal_1755282763_aug4.npy,0
personal_1755283224,sit,train,processed_sequences\train\personal_1755283224.npy,0
personal_1755283224_aug0,sit,train,processed_sequences\train\personal_1755283224_aug0.npy,0
personal_1755283224_aug1,sit,train,processed_sequences\train\personal_1755283224_aug1.npy,0
personal_1755283224_aug2,sit,train,processed_sequences\train\personal_1755283224_aug2.npy,0
personal_1755283224_aug3,sit,train,processed_sequences\train\personal_1755283224_aug3.npy,0
personal_1755283224_aug4,sit,train,processed_sequences\train\personal_1755283224_aug4.npy,0
personal_1755283293,sit,train,processed_sequences\train\personal_1755283293.npy,0
personal_1755283293_aug0,sit,train,processed_sequences\train\personal_1755283293_aug0.npy,0
personal_1755283293_aug1,sit,train,processed_sequences\train\personal_1755283293_aug1.npy,0
personal_1755283293_aug2,sit,train,processed_sequences\train\personal_1755283293_aug2.npy,0
personal_1755283293_aug3,sit,train,processed_sequences\train\personal_1755283293_aug3.npy,0
personal_1755283293_aug4,sit,train,processed_sequences\train\personal_1755283293_aug4.npy,0
personal_1755283233,sit,train,processed_sequences\train\personal_1755283233.npy,0
personal_1755283233_aug0,sit,train,processed_sequences\train\personal_1755283233_aug0.npy,0
personal_1755283233_aug1,sit,train,processed_sequences\train\personal_1755283233_aug1.npy,0
personal_1755283233_aug2,sit,train,processed_sequences\train\personal_1755283233_aug2.npy,0
personal_1755283233_aug3,sit,train,processed_sequences\train\personal_1755283233_aug3.npy,0
personal_1755283233_aug4,sit,train,processed_sequences\train\personal_1755283233_aug4.npy,0
personal_1755282822,sit,train,processed_sequences\train\personal_1755282822.npy,0
personal_1755282822_aug0,sit,train,processed_sequences\train\personal_1755282822_aug0.npy,0
personal_1755282822_aug1,sit,train,processed_sequences\train\personal_1755282822_aug1.npy,0
personal_1755282822_aug2,sit,train,processed_sequences\train\personal_1755282822_aug2.npy,0
personal_1755282822_aug3,sit,train,processed_sequences\train\personal_1755282822_aug3.npy,0
personal_1755282822_aug4,sit,train,processed_sequences\train\personal_1755282822_aug4.npy,0
personal_1755282696,sit,train,processed_sequences\train\personal_1755282696.npy,0
personal_1755282696_aug0,sit,train,processed_sequences\train\personal_1755282696_aug0.npy,0
personal_1755282696_aug1,sit,train,processed_sequences\train\personal_1755282696_aug1.npy,0
