gloss,video_id,video_path,signer_id,frame_start,frame_end,fps,bbox,split,gloss_id
come,personal_1753273532,my_recorded_signs\come_1753273532.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087569,my_recorded_signs\come_1753087569.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262061,my_recorded_signs\come_1753262061.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273563,my_recorded_signs\come_1753273563.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087707,my_recorded_signs\come_1753087707.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262202,my_recorded_signs\come_1753262202.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273473,my_recorded_signs\come_1753273473.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262115,my_recorded_signs\come_1753262115.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273580,my_recorded_signs\come_1753273580.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087630,my_recorded_signs\come_1753087630.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262261,my_recorded_signs\come_1753262261.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273765,my_recorded_signs\come_1753273765.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087667,my_recorded_signs\come_1753087667.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273650,my_recorded_signs\come_1753273650.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262052,my_recorded_signs\come_1753262052.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262184,my_recorded_signs\come_1753262184.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273543,my_recorded_signs\come_1753273543.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087687,my_recorded_signs\come_1753087687.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262253,my_recorded_signs\come_1753262253.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262176,my_recorded_signs\come_1753262176.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087553,my_recorded_signs\come_1753087553.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273754,my_recorded_signs\come_1753273754.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753367652,my_recorded_signs\come_1753367652.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273627,my_recorded_signs\come_1753273627.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273512,my_recorded_signs\come_1753273512.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262044,my_recorded_signs\come_1753262044.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273636,my_recorded_signs\come_1753273636.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087597,my_recorded_signs\come_1753087597.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273734,my_recorded_signs\come_1753273734.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262125,my_recorded_signs\come_1753262125.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273702,my_recorded_signs\come_1753273702.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087614,my_recorded_signs\come_1753087614.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273711,my_recorded_signs\come_1753273711.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262079,my_recorded_signs\come_1753262079.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262210,my_recorded_signs\come_1753262210.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087676,my_recorded_signs\come_1753087676.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273723,my_recorded_signs\come_1753273723.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753206786,my_recorded_signs\come_1753206786.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273775,my_recorded_signs\come_1753273775.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753206865,my_recorded_signs\come_1753206865.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753367644,my_recorded_signs\come_1753367644.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087606,my_recorded_signs\come_1753087606.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273483,my_recorded_signs\come_1753273483.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273810,my_recorded_signs\come_1753273810.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753367619,my_recorded_signs\come_1753367619.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087648,my_recorded_signs\come_1753087648.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753206831,my_recorded_signs\come_1753206831.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273680,my_recorded_signs\come_1753273680.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273572,my_recorded_signs\come_1753273572.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087561,my_recorded_signs\come_1753087561.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753367636,my_recorded_signs\come_1753367636.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753206841,my_recorded_signs\come_1753206841.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087579,my_recorded_signs\come_1753087579.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273522,my_recorded_signs\come_1753273522.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753087696,my_recorded_signs\come_1753087696.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753206777,my_recorded_signs\come_1753206777.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262096,my_recorded_signs\come_1753262096.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262218,my_recorded_signs\come_1753262218.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753273744,my_recorded_signs\come_1753273744.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753206794,my_recorded_signs\come_1753206794.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262070,my_recorded_signs\come_1753262070.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262167,my_recorded_signs\come_1753262167.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
come,personal_1753262236,my_recorded_signs\come_1753262236.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753262135,my_recorded_signs\come_1753262135.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753262087,my_recorded_signs\come_1753262087.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753087657,my_recorded_signs\come_1753087657.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753262244,my_recorded_signs\come_1753262244.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753273554,my_recorded_signs\come_1753273554.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753206804,my_recorded_signs\come_1753206804.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753262226,my_recorded_signs\come_1753262226.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753273689,my_recorded_signs\come_1753273689.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753367611,my_recorded_signs\come_1753367611.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753206822,my_recorded_signs\come_1753206822.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753273798,my_recorded_signs\come_1753273798.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753087589,my_recorded_signs\come_1753087589.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753273615,my_recorded_signs\come_1753273615.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
come,personal_1753262158,my_recorded_signs\come_1753262158.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
come,personal_1753206813,my_recorded_signs\come_1753206813.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
