gloss,gloss_id,video_id,video_path,signer_id,split,frame_start,frame_end,fps,bbox
book,0,69241,.\videos\69241.mp4,118,train,1,-1,25,"[385, 37, 885, 720]"
book,0,07069,.\videos\07069.mp4,31,train,1,-1,25,"[462, 44, 949, 720]"
book,0,07068,.\videos\07068.mp4,36,train,1,-1,25,"[234, 17, 524, 414]"
book,0,07070,.\videos\07070.mp4,59,train,1,-1,25,"[131, 26, 526, 480]"
book,0,07099,.\videos\07099.mp4,12,val,1,-1,25,"[162, 54, 528, 400]"
book,0,07074,.\videos\07074.mp4,11,train,1,-1,25,"[82, 11, 212, 192]"
drink,1,69302,.\videos\69302.mp4,115,val,1,-1,25,"[551, 68, 1350, 1080]"
drink,1,65539,.\videos\65539.mp4,94,train,1,-1,25,"[153, 11, 488, 370]"
drink,1,17710,.\videos\17710.mp4,36,train,1,-1,25,"[196, 15, 521, 414]"
drink,1,17733,.\videos\17733.mp4,12,train,1,-1,25,"[186, 63, 551, 400]"
drink,1,65540,.\videos\65540.mp4,94,train,1,-1,25,"[167, 19, 480, 370]"
drink,1,17734,.\videos\17734.mp4,12,val,1,-1,25,"[183, 55, 552, 400]"
drink,1,17711,.\videos\17711.mp4,52,train,1,-1,25,"[289, 9, 783, 480]"
drink,1,17712,.\videos\17712.mp4,6,train,1,-1,25,"[673, 90, 1571, 1072]"
drink,1,17713,.\videos\17713.mp4,21,test,1,-1,25,"[28, 0, 542, 480]"
drink,1,17709,.\videos\17709.mp4,2,train,1,-1,25,"[41, 9, 257, 240]"
drink,1,17720,.\videos\17720.mp4,11,train,1,-1,25,"[49, 3, 220, 192]"
drink,1,17721,.\videos\17721.mp4,10,train,1,-1,25,"[66, 19, 209, 192]"
drink,1,17722,.\videos\17722.mp4,10,train,1,-1,25,"[66, 19, 209, 192]"
drink,1,17723,.\videos\17723.mp4,10,train,1,-1,25,"[65, 20, 208, 192]"
drink,1,17724,.\videos\17724.mp4,11,val,1,-1,25,"[68, 18, 220, 192]"
computer,2,12328,.\videos\12328.mp4,11,train,1,-1,25,"[56, 11, 240, 192]"
computer,2,12312,.\videos\12312.mp4,38,val,1,-1,25,"[422, 50, 824, 720]"
computer,2,12311,.\videos\12311.mp4,56,train,1,-1,25,"[27, 0, 313, 240]"
computer,2,12338,.\videos\12338.mp4,41,train,1,-1,25,"[221, 42, 501, 400]"
computer,2,12313,.\videos\12313.mp4,38,train,1,-1,25,"[409, 51, 833, 720]"
computer,2,12314,.\videos\12314.mp4,4,train,1,-1,25,"[257, 38, 1684, 1080]"
computer,2,12315,.\videos\12315.mp4,4,val,1,-1,25,"[436, 35, 1765, 1080]"
computer,2,12316,.\videos\12316.mp4,4,train,1,-1,25,"[412, 18, 1698, 1080]"
computer,2,12317,.\videos\12317.mp4,4,train,1,-1,25,"[473, 44, 1708, 1080]"
computer,2,12318,.\videos\12318.mp4,4,train,1,-1,25,"[365, 45, 1673, 1080]"
computer,2,12319,.\videos\12319.mp4,45,train,1,-1,25,"[494, 99, 1414, 1077]"
computer,2,12320,.\videos\12320.mp4,59,test,1,-1,25,"[74, 19, 565, 480]"
computer,2,12326,.\videos\12326.mp4,11,val,1,-1,25,"[69, 9, 214, 192]"
computer,2,12327,.\videos\12327.mp4,11,train,1,-1,25,"[63, 0, 218, 192]"
before,3,05728,.\videos\05728.mp4,32,train,1,-1,25,"[624, 70, 1587, 1070]"
before,3,05749,.\videos\05749.mp4,12,train,1,-1,25,"[167, 52, 512, 400]"
before,3,05750,.\videos\05750.mp4,12,val,1,-1,25,"[171, 52, 513, 400]"
before,3,05729,.\videos\05729.mp4,46,train,1,-1,25,"[300, 12, 1202, 1080]"
before,3,05730,.\videos\05730.mp4,32,train,1,-1,25,"[712, 64, 1652, 1080]"
before,3,65167,.\videos\65167.mp4,88,train,1,-1,25,"[190, 0, 504, 370]"
