video_id,gloss,split,processed_path,gloss_id
9848,chair,train,processed_sequences\train\9848.npy,0
9848_aug0,chair,train,processed_sequences\train\9848_aug0.npy,0
9848_aug1,chair,train,processed_sequences\train\9848_aug1.npy,0
9848_aug2,chair,train,processed_sequences\train\9848_aug2.npy,0
9848_aug3,chair,train,processed_sequences\train\9848_aug3.npy,0
9848_aug4,chair,train,processed_sequences\train\9848_aug4.npy,0
9869,chair,train,processed_sequences\train\9869.npy,0
9869_aug0,chair,train,processed_sequences\train\9869_aug0.npy,0
9869_aug1,chair,train,processed_sequences\train\9869_aug1.npy,0
9869_aug2,chair,train,processed_sequences\train\9869_aug2.npy,0
9869_aug3,chair,train,processed_sequences\train\9869_aug3.npy,0
9869_aug4,chair,train,processed_sequences\train\9869_aug4.npy,0
9849,chair,train,processed_sequences\train\9849.npy,0
9849_aug0,chair,train,processed_sequences\train\9849_aug0.npy,0
9849_aug1,chair,train,processed_sequences\train\9849_aug1.npy,0
9849_aug2,chair,train,processed_sequences\train\9849_aug2.npy,0
9849_aug3,chair,train,processed_sequences\train\9849_aug3.npy,0
9849_aug4,chair,train,processed_sequences\train\9849_aug4.npy,0
9850,chair,train,processed_sequences\train\9850.npy,0
9850_aug0,chair,train,processed_sequences\train\9850_aug0.npy,0
9850_aug1,chair,train,processed_sequences\train\9850_aug1.npy,0
9850_aug2,chair,train,processed_sequences\train\9850_aug2.npy,0
9850_aug3,chair,train,processed_sequences\train\9850_aug3.npy,0
9850_aug4,chair,train,processed_sequences\train\9850_aug4.npy,0
9851,chair,val,processed_sequences\val\9851.npy,0
65328,chair,train,processed_sequences\train\65328.npy,0
65328_aug0,chair,train,processed_sequences\train\65328_aug0.npy,0
65328_aug1,chair,train,processed_sequences\train\65328_aug1.npy,0
65328_aug2,chair,train,processed_sequences\train\65328_aug2.npy,0
65328_aug3,chair,train,processed_sequences\train\65328_aug3.npy,0
65328_aug4,chair,train,processed_sequences\train\65328_aug4.npy,0
9854,chair,val,processed_sequences\val\9854.npy,0
69236,black,val,processed_sequences\val\69236.npy,1
6472,black,train,processed_sequences\train\6472.npy,1
6472_aug0,black,train,processed_sequences\train\6472_aug0.npy,1
6472_aug1,black,train,processed_sequences\train\6472_aug1.npy,1
6472_aug2,black,train,processed_sequences\train\6472_aug2.npy,1
6472_aug3,black,train,processed_sequences\train\6472_aug3.npy,1
