gloss,gloss_id,video_id,video_path,signer_id,split,frame_start,frame_end,fps,bbox
chair,0,09848,.\videos\09848.mp4,0,train,1,-1,25,"[40, 6, 266, 240]"
chair,0,09869,.\videos\09869.mp4,12,train,1,-1,25,"[183, 55, 560, 400]"
chair,0,09849,.\videos\09849.mp4,38,train,1,-1,25,"[388, 56, 806, 720]"
chair,0,09850,.\videos\09850.mp4,31,train,1,-1,25,"[667, 144, 1472, 1061]"
chair,0,09851,.\videos\09851.mp4,59,val,1,-1,25,"[102, 22, 563, 480]"
chair,0,65328,.\videos\65328.mp4,90,train,1,-1,25,"[169, 15, 476, 370]"
chair,0,09854,.\videos\09854.mp4,11,val,1,-1,25,"[81, 15, 233, 192]"
black,1,69236,.\videos\69236.mp4,118,val,1,-1,25,"[295, 38, 885, 720]"
black,1,06472,.\videos\06472.mp4,36,train,1,-1,25,"[205, 17, 524, 414]"
black,1,06473,.\videos\06473.mp4,4,train,1,-1,25,"[544, 60, 1618, 1080]"
black,1,06474,.\videos\06474.mp4,59,train,1,-1,25,"[77, 18, 515, 480]"
black,1,06476,.\videos\06476.mp4,11,val,1,-1,25,"[58, 15, 216, 192]"
black,1,06477,.\videos\06477.mp4,11,train,1,-1,25,"[48, 11, 226, 192]"
black,1,06478,.\videos\06478.mp4,11,train,1,-1,25,"[63, 8, 245, 192]"
black,1,65200,.\videos\65200.mp4,90,train,1,-1,25,"[149, 24, 479, 370]"
black,1,06471,.\videos\06471.mp4,56,train,1,-1,25,"[66, 13, 258, 240]"
black,1,06486,.\videos\06486.mp4,12,train,1,-1,25,"[131, 52, 555, 400]"
blue,2,69238,.\videos\69238.mp4,118,val,1,-1,25,"[257, 39, 881, 720]"
blue,2,06835,.\videos\06835.mp4,59,train,1,-1,25,"[125, 26, 528, 480]"
blue,2,06839,.\videos\06839.mp4,10,train,1,-1,25,"[90, 21, 213, 192]"
blue,2,65216,.\videos\65216.mp4,90,train,1,-1,25,"[158, 24, 482, 370]"
blue,2,06832,.\videos\06832.mp4,8,train,1,-1,25,"[41, 0, 232, 240]"
blue,2,06845,.\videos\06845.mp4,41,test,1,-1,25,"[232, 39, 483, 400]"
blue,2,06833,.\videos\06833.mp4,36,train,1,-1,25,"[225, 18, 519, 414]"
blue,2,06834,.\videos\06834.mp4,46,train,1,-1,25,"[188, 0, 794, 720]"
can,3,69257,.\videos\69257.mp4,118,test,1,-1,25,"[285, 31, 964, 720]"
can,3,65294,.\videos\65294.mp4,90,val,1,-1,25,"[137, 15, 500, 370]"
can,3,08955,.\videos\08955.mp4,12,train,1,-1,25,"[163, 54, 555, 400]"
can,3,08935,.\videos\08935.mp4,38,train,1,-1,25,"[434, 54, 814, 720]"
can,3,08936,.\videos\08936.mp4,70,train,1,-1,25,"[201, 5, 823, 480]"
can,3,08937,.\videos\08937.mp4,59,train,1,-1,25,"[69, 17, 552, 480]"
can,3,08938,.\videos\08938.mp4,59,train,1,-1,25,"[110, 29, 555, 480]"
can,3,08942,.\videos\08942.mp4,11,train,1,-1,25,"[76, 18, 237, 192]"
can,3,08944,.\videos\08944.mp4,11,train,1,-1,25,"[70, 18, 217, 192]"
apple,4,69213,.\videos\69213.mp4,117,val,1,-1,25,"[304, 41, 916, 720]"
apple,4,03005,.\videos\03005.mp4,11,train,1,-1,25,"[64, 15, 229, 192]"
apple,4,03008,.\videos\03008.mp4,12,train,1,-1,25,"[158, 50, 541, 399]"
apple,4,65085,.\videos\65085.mp4,89,train,1,-1,25,"[207, 0, 520, 370]"
apple,4,65086,.\videos\65086.mp4,89,val,1,-1,25,"[206, 0, 535, 370]"
apple,4,65084,.\videos\65084.mp4,88,train,1,-1,25,"[119, 4, 486, 370]"
apple,4,02999,.\videos\02999.mp4,37,val,1,-1,25,"[44, 0, 232, 240]"
apple,4,03000,.\videos\03000.mp4,28,train,1,-1,25,"[41, 13, 259, 240]"
apple,4,03001,.\videos\03001.mp4,38,train,1,-1,25,"[350, 53, 815, 720]"
apple,4,03002,.\videos\03002.mp4,36,train,1,-1,25,"[212, 17, 526, 414]"
apple,4,03003,.\videos\03003.mp4,13,train,1,-1,25,"[24, 13, 526, 480]"
brown,5,69252,.\videos\69252.mp4,118,test,1,-1,25,"[335, 37, 874, 720]"
brown,5,07963,.\videos\07963.mp4,59,train,1,-1,25,"[102, 30, 523, 480]"
brown,5,07966,.\videos\07966.mp4,11,train,1,-1,25,"[62, 15, 217, 192]"
brown,5,65263,.\videos\65263.mp4,90,train,1,-1,25,"[158, 12, 462, 370]"
brown,5,07960,.\videos\07960.mp4,2,train,1,-1,25,"[37, 6, 250, 240]"
brown,5,07973,.\videos\07973.mp4,12,val,1,-1,25,"[182, 52, 542, 400]"
brown,5,07961,.\videos\07961.mp4,36,train,1,-1,25,"[213, 11, 525, 414]"
brown,5,07962,.\videos\07962.mp4,4,train,1,-1,25,"[381, 38, 1076, 720]"
cat,6,69261,.\videos\69261.mp4,118,test,1,-1,25,"[357, 37, 874, 720]"
cat,6,09528,.\videos\09528.mp4,32,train,1,-1,25,"[743, 79, 1579, 1066]"
cat,6,09532,.\videos\09532.mp4,10,val,1,-1,25,"[84, 21, 216, 192]"
cat,6,09533,.\videos\09533.mp4,10,train,1,-1,25,"[83, 20, 218, 192]"
cat,6,65312,.\videos\65312.mp4,102,train,1,-1,25,"[156, 19, 486, 370]"
cat,6,65313,.\videos\65313.mp4,101,train,1,-1,25,"[168, 18, 462, 370]"
cat,6,09525,.\videos\09525.mp4,2,val,1,-1,25,"[57, 0, 271, 240]"
cat,6,09538,.\videos\09538.mp4,41,train,1,-1,25,"[215, 42, 465, 400]"
