video_id,gloss,split,processed_path,gloss_id
personal_1753085441,chair,train,processed_sequences\train\personal_1753085441.npy,0
personal_1753085441_aug0,chair,train,processed_sequences\train\personal_1753085441_aug0.npy,0
personal_1753085441_aug1,chair,train,processed_sequences\train\personal_1753085441_aug1.npy,0
personal_1753085441_aug2,chair,train,processed_sequences\train\personal_1753085441_aug2.npy,0
personal_1753085441_aug3,chair,train,processed_sequences\train\personal_1753085441_aug3.npy,0
personal_1753085441_aug4,chair,train,processed_sequences\train\personal_1753085441_aug4.npy,0
personal_1753366571,chair,train,processed_sequences\train\personal_1753366571.npy,0
personal_1753366571_aug0,chair,train,processed_sequences\train\personal_1753366571_aug0.npy,0
personal_1753366571_aug1,chair,train,processed_sequences\train\personal_1753366571_aug1.npy,0
personal_1753366571_aug2,chair,train,processed_sequences\train\personal_1753366571_aug2.npy,0
personal_1753366571_aug3,chair,train,processed_sequences\train\personal_1753366571_aug3.npy,0
personal_1753366571_aug4,chair,train,processed_sequences\train\personal_1753366571_aug4.npy,0
personal_1753085340,chair,train,processed_sequences\train\personal_1753085340.npy,0
personal_1753085340_aug0,chair,train,processed_sequences\train\personal_1753085340_aug0.npy,0
personal_1753085340_aug1,chair,train,processed_sequences\train\personal_1753085340_aug1.npy,0
personal_1753085340_aug2,chair,train,processed_sequences\train\personal_1753085340_aug2.npy,0
personal_1753085340_aug3,chair,train,processed_sequences\train\personal_1753085340_aug3.npy,0
personal_1753085340_aug4,chair,train,processed_sequences\train\personal_1753085340_aug4.npy,0
personal_1753085495,chair,train,processed_sequences\train\personal_1753085495.npy,0
personal_1753085495_aug0,chair,train,processed_sequences\train\personal_1753085495_aug0.npy,0
personal_1753085495_aug1,chair,train,processed_sequences\train\personal_1753085495_aug1.npy,0
personal_1753085495_aug2,chair,train,processed_sequences\train\personal_1753085495_aug2.npy,0
personal_1753085495_aug3,chair,train,processed_sequences\train\personal_1753085495_aug3.npy,0
personal_1753085495_aug4,chair,train,processed_sequences\train\personal_1753085495_aug4.npy,0
personal_1753366588,chair,train,processed_sequences\train\personal_1753366588.npy,0
personal_1753366588_aug0,chair,train,processed_sequences\train\personal_1753366588_aug0.npy,0
personal_1753366588_aug1,chair,train,processed_sequences\train\personal_1753366588_aug1.npy,0
personal_1753366588_aug2,chair,train,processed_sequences\train\personal_1753366588_aug2.npy,0
personal_1753366588_aug3,chair,train,processed_sequences\train\personal_1753366588_aug3.npy,0
personal_1753366588_aug4,chair,train,processed_sequences\train\personal_1753366588_aug4.npy,0
personal_1753085515,chair,train,processed_sequences\train\personal_1753085515.npy,0
personal_1753085515_aug0,chair,train,processed_sequences\train\personal_1753085515_aug0.npy,0
