video_id,gloss,split,processed_path,gloss_id
9848,chair,train,processed_sequences\train\9848.npy,0
9848_aug0,chair,train,processed_sequences\train\9848_aug0.npy,0
9848_aug1,chair,train,processed_sequences\train\9848_aug1.npy,0
9848_aug2,chair,train,processed_sequences\train\9848_aug2.npy,0
9869,chair,train,processed_sequences\train\9869.npy,0
9869_aug0,chair,train,processed_sequences\train\9869_aug0.npy,0
9869_aug1,chair,train,processed_sequences\train\9869_aug1.npy,0
9869_aug2,chair,train,processed_sequences\train\9869_aug2.npy,0
9849,chair,train,processed_sequences\train\9849.npy,0
9849_aug0,chair,train,processed_sequences\train\9849_aug0.npy,0
9849_aug1,chair,train,processed_sequences\train\9849_aug1.npy,0
9849_aug2,chair,train,processed_sequences\train\9849_aug2.npy,0
9850,chair,train,processed_sequences\train\9850.npy,0
9850_aug0,chair,train,processed_sequences\train\9850_aug0.npy,0
9850_aug1,chair,train,processed_sequences\train\9850_aug1.npy,0
9850_aug2,chair,train,processed_sequences\train\9850_aug2.npy,0
9851,chair,val,processed_sequences\val\9851.npy,0
65328,chair,train,processed_sequences\train\65328.npy,0
65328_aug0,chair,train,processed_sequences\train\65328_aug0.npy,0
65328_aug1,chair,train,processed_sequences\train\65328_aug1.npy,0
65328_aug2,chair,train,processed_sequences\train\65328_aug2.npy,0
9854,chair,val,processed_sequences\val\9854.npy,0
69236,black,val,processed_sequences\val\69236.npy,1
6472,black,train,processed_sequences\train\6472.npy,1
6472_aug0,black,train,processed_sequences\train\6472_aug0.npy,1
6472_aug1,black,train,processed_sequences\train\6472_aug1.npy,1
6472_aug2,black,train,processed_sequences\train\6472_aug2.npy,1
6473,black,train,processed_sequences\train\6473.npy,1
6473_aug0,black,train,processed_sequences\train\6473_aug0.npy,1
6473_aug1,black,train,processed_sequences\train\6473_aug1.npy,1
6473_aug2,black,train,processed_sequences\train\6473_aug2.npy,1
6474,black,train,processed_sequences\train\6474.npy,1
6474_aug0,black,train,processed_sequences\train\6474_aug0.npy,1
6474_aug1,black,train,processed_sequences\train\6474_aug1.npy,1
6474_aug2,black,train,processed_sequences\train\6474_aug2.npy,1
6476,black,val,processed_sequences\val\6476.npy,1
6477,black,train,processed_sequences\train\6477.npy,1
6477_aug0,black,train,processed_sequences\train\6477_aug0.npy,1
6477_aug1,black,train,processed_sequences\train\6477_aug1.npy,1
6477_aug2,black,train,processed_sequences\train\6477_aug2.npy,1
